Combination, leakage_current_cir, leakage_current_mos, error
010001100,1.02916e-05, 5.5541292000000025e-06, 4.603240312487852
010001101,9.96022e-06, 5.465409100000003e-06, 4.512762669900862
010001110,1.26666e-05, 5.1714009000000005e-06, 5.9172935910188995
010001111,1.33693e-05, 5.1303821e-06, 6.162564906165619
010010000,9.55853e-06, 6.011061200000006e-06, 3.7113120950606366
010010001,9.90133e-06, 5.726636300000005e-06, 4.216295891562037
010010010,1.04921e-05, 5.734986000000005e-06, 4.5339960541740885
010010011,1.1815e-05, 5.4498794000000025e-06, 5.387321709691069
010010100,9.71793e-06, 5.637916200000004e-06, 4.1984391737746565
010010101,9.38661e-06, 5.549196100000005e-06, 4.088178692840115
010010110,1.06515e-05, 5.361841000000004e-06, 4.966116509411816
010010111,1.13003e-05, 5.272439200000002e-06, 5.334248471279521
010011000,9.37209e-06, 5.390020500000004e-06, 4.248859646034125
010011001,9.71489e-06, 5.105595600000003e-06, 4.744566742392345
010011010,1.23506e-05, 5.211753500000003e-06, 5.780161692549348
010011011,1.36735e-05, 4.9266469000000015e-06, 6.396937945661315
010011100,1.05289e-05, 5.032658400000002e-06, 5.2201479736724625
010011101,1.01976e-05, 4.943938300000002e-06, 5.151860928061502
010011110,1.3962e-05, 4.7287353e-06, 6.613139020197679
010011111,1.46646e-05, 4.687716500000001e-06, 6.8033792261636865
010100000,1.26788e-05, 5.9021075000000045e-06, 5.3449005426381015
010100001,1.30042e-05, 5.605768200000004e-06, 5.689263314929019
010100010,1.25545e-05, 5.547227100000004e-06, 5.581483053885058
010100011,1.386e-05, 5.250206100000001e-06, 6.21197251082251
010100100,1.28208e-05, 5.517048100000003e-06, 5.696798873705227
010100101,1.24895e-05, 5.4283280000000035e-06, 5.65368669682533
010100110,1.26964e-05, 5.162167700000002e-06, 5.9341484987870565
010100111,1.33452e-05, 5.0727659e-06, 6.19880863531457
010101000,1.55144e-05, 5.380949200000002e-06, 6.531642087351105
010101001,1.58398e-05, 5.084609900000001e-06, 6.789978471950403
010101010,1.73369e-05, 5.030681400000001e-06, 7.098280892201028
010101011,1.86599e-05, 4.7455748e-06, 7.456805877845005
010101100,1.66542e-05, 5.0071225e-06, 6.993477621260703
010101101,1.63229e-05, 4.918402399999999e-06, 6.986808471533857
010101110,1.89486e-05, 4.5431129999999995e-06, 7.602401760552231
010101111,1.96513e-05, 4.502094199999999e-06, 7.709009480288836
010110000,1.38685e-05, 5.356817900000002e-06, 6.1374208458016355
010110001,1.42113e-05, 5.072393000000002e-06, 6.430732586040685
010110010,1.4802e-05, 5.0807427000000015e-06, 6.567529590595864
010110011,1.6125e-05, 4.7956361e-06, 7.025962108527132
010110100,1.40279e-05, 4.983672900000001e-06, 6.4473136392475
010110101,1.36965e-05, 4.894952800000001e-06, 6.426128719015805
010110110,1.49614e-05, 4.7075977e-06, 6.853504551713075
010110111,1.56103e-05, 4.6181959e-06, 7.041571334311319
010111000,1.71762e-05, 4.721917900000001e-06, 7.250894901084058
010111001,1.7519e-05, 4.437493e-06, 7.467039785375878
010111010,2.01415e-05, 4.5248541000000004e-06, 7.75346716977385
010111011,2.14819e-05, 4.251661900000001e-06, 8.020816640986133
010111100,1.83696e-05, 4.3964742e-06, 7.606657629997388
010111101,1.80383e-05, 4.3077541000000004e-06, 7.61188465653637
010111110,2.18069e-05, 4.085668699999999e-06, 8.126433055592496
010111111,2.25096e-05, 4.0446498999999995e-06, 8.203144480577176
011000000,1.04295e-05, 6.0587625000000045e-06, 4.190745002157338
011000001,1.07723e-05, 5.774337600000004e-06, 4.639642787519839
011000010,1.03051e-05, 5.7038821000000055e-06, 4.464991023861966
011000011,1.16281e-05, 5.418775500000003e-06, 5.339930427154906
011000100,1.05889e-05, 5.685617500000005e-06, 4.630587218691266
011000101,1.02576e-05, 5.5968974000000055e-06, 4.543657970675396
011000110,1.04645e-05, 5.330737100000004e-06, 4.905884562090874
011000111,1.11134e-05, 5.241335300000002e-06, 5.2837697734266715
011001000,1.1301e-05, 5.516527000000004e-06, 5.118549685868503
011001001,1.16438e-05, 5.232102100000004e-06, 5.506533863515344
011001010,1.32216e-05, 5.259454800000003e-06, 6.022073879106914
011001011,1.45445e-05, 4.974348200000002e-06, 6.579911169170475
011001100,1.24578e-05, 5.159164900000002e-06, 5.858687007336767
011001101,1.21265e-05, 5.070444800000003e-06, 5.818707129014965
011001110,1.48329e-05, 4.7764366e-06, 6.779836309824781
011001111,1.55356e-05, 4.7354178e-06, 6.95189255645099
011010000,1.00573e-05, 5.792602200000005e-06, 4.24040030624521
011010001,1.04001e-05, 5.5081773000000045e-06, 4.7037265987826995
011010010,1.09908e-05, 5.516527000000004e-06, 4.9807775594133235
011010011,1.23138e-05, 5.231420400000002e-06, 5.7515792038201035
011010100,1.02167e-05, 5.4194572000000035e-06, 4.695491499212071
011010101,9.88535e-06, 5.330737100000004e-06, 4.607437167121039
011010110,1.11502e-05, 5.143382000000003e-06, 5.387184086384098
011010111,1.17991e-05, 5.053980200000001e-06, 5.716639235195904
011011000,1.09288e-05, 5.250366700000003e-06, 5.195843367981842
011011001,1.12716e-05, 4.965941800000003e-06, 5.594288477234818
011011010,1.39073e-05, 5.072099700000004e-06, 6.3529227815607605
011011011,1.52302e-05, 4.786993100000001e-06, 6.856907263200745
011011100,1.20856e-05, 4.893004600000003e-06, 5.951376348712515
011011101,1.17543e-05, 4.804284500000002e-06, 5.91274299618012
011011110,1.55186e-05, 4.589081500000001e-06, 7.042850837060044
011011111,1.62213e-05, 4.5480627e-06, 7.196240313661667
011100000,1.43427e-05, 5.398756200000003e-06, 6.235885711895248
011100001,1.46855e-05, 5.114331300000001e-06, 6.517427871029247
